start_tz,start,end_tz,end,activity
UTC,1466492224,UTC,1466520977,work
UTC,1466592061,UTC,1466610073,work
UTC,1466670609,UTC,1466685566,work
UTC,1466687832,UTC,1466692988,work
UTC,1466754102,UTC,1466773125,work
UTC,1466774453,UTC,1466775520,work
UTC,1466778285,UTC,1466780569,work
UTC,1467014055,UTC,1467041824,work
UTC,1467115320,UTC,1467116416,work
UTC,1467127724,UTC,1467130955,work
UTC,1467184879,UTC,1467194786,work
UTC,1467205272,UTC,1467206569,work
UTC,1467206982,UTC,1467217871,work
UTC,1467271596,UTC,1467277053,work
UTC,1467364452,UTC,1467370461,work
UTC,1467598023,UTC,1467626236,work
UTC,1467629360,UTC,1467636398,work
UTC,1467637061,UTC,1467645195,work
UTC,1467700097,UTC,1467710336,work
UTC,1467711547,UTC,1467713560,work
UTC,1467716865,UTC,1467730311,work
UTC,1467788046,UTC,1467791532,work
UTC,1467793759,UTC,1467795999,work
UTC,1467796447,UTC,1467804092,work
UTC,1467808421,UTC,1467810259,work
UTC,1467817740,UTC,1467825119,work
UTC,1467828613,UTC,1467832209,work
UTC,1467877486,UTC,1467880090,work
UTC,1467884958,UTC,1467890457,work
UTC,1467893966,UTC,1467894103,work
UTC,1467902962,UTC,1467903439,work
UTC,1467965092,UTC,1467969323,work
UTC,1467971171,UTC,1467976083,work
UTC,1467983388,UTC,1467989771,work
UTC,1468220670,UTC,1468222576,work
UTC,1468224092,UTC,1468227754,work
UTC,1468231828,UTC,1468232427,work
UTC,1468233634,UTC,1468236548,work
UTC,1468239826,UTC,1468246932,work
UTC,1468305850,UTC,1468320551,work
UTC,1468399731,UTC,1468407587,work
UTC,1468410863,UTC,1468421242,work
UTC,1468423148,UTC,1468424215,work
UTC,1468478175,UTC,1468489604,work
UTC,1468494203,UTC,1468503679,work
UTC,1468505718,UTC,1468511617,work
UTC,1468512370,UTC,1468515318,work
UTC,1468566782,UTC,1468577926,work
UTC,1468583012,UTC,1468588997,work
UTC,1468592898,UTC,1468595002,work
UTC,1468823612,UTC,1468840340,work
UTC,1468843331,UTC,1468852886,work
UTC,1468909827,UTC,1468945271,work
UTC,1468997326,UTC,1469011405,work
UTC,1469015547,UTC,1469021378,work
UTC,1469022565,UTC,1469023917,work
UTC,1469026405,UTC,1469033487,work
UTC,1469087069,UTC,1469100698,work
UTC,1469102602,UTC,1469113638,work
UTC,1469170387,UTC,1469181810,work
UTC,1469186866,UTC,1469200165,work
UTC,1469429212,UTC,1469460512,work
UTC,1469516410,UTC,1469527416,work
UTC,1469604089,UTC,1469615634,work
UTC,1469691478,UTC,1469721801,work
UTC,1469777882,UTC,1469794274,work
UTC,1470033271,UTC,1470049155,work
UTC,1470050828,UTC,1470066587,work
UTC,1470120221,UTC,1470134373,work
UTC,1470136191,UTC,1470154571,work
UTC,1470208672,UTC,1470223648,work
UTC,1470225987,UTC,1470234330,work
UTC,1470240253,UTC,1470260370,work
UTC,1470294205,UTC,1470307358,work
UTC,1470312302,UTC,1470326143,work
UTC,1470384510,UTC,1470392921,work
UTC,1470395631,UTC,1470403739,work
UTC,1470409000,UTC,1470421469,work
UTC,1470640424,UTC,1470654665,work
UTC,1470658976,UTC,1470669042,work
UTC,1470725503,UTC,1470731974,work
UTC,1470741217,UTC,1470774058,work
UTC,1470819524,UTC,1470851410,work
UTC,1470902301,UTC,1470913318,work
UTC,1470918162,UTC,1470937277,work
UTC,1470986936,UTC,1470996454,work
UTC,1470999773,UTC,1471017707,work
UTC,1471247534,UTC,1471254868,work
UTC,1471334119,UTC,1471359049,work
UTC,1471362271,UTC,1471381701,work
